flightNumber,departureCity,arrivalCity,departureTime,OrderID,ItemID,ItemName,UserID,SeatNumber,itemPrice,quantity,status,orderTime,itemWeight
110,Melbourne,Changi,2023-06-23 18:58:20,1,8,Plane Miniature,41,B1,50.0,2,Success,2023-06-23 19:58:20,0.8
109,Jakarta,Bangkok,2023-06-18 05:15:20,2,7,Beer,91,C1,8.0,2,Success,2023-06-18 07:15:20,0.3
100,Changi,Bangkok,2023-06-18 17:05:20,3,1,Briyani,91,B1,25.0,1,Success,2023-06-18 22:05:20,0.5
109,Jakarta,Bangkok,2023-06-21 23:22:20,4,8,Plane Miniature,43,A3,50.0,3,Success,2023-06-22 04:22:20,0.8
108,Changi,Manila,2023-06-22 02:21:20,5,5,Dumplings,77,B1,20.0,5,Success,2023-06-22 13:21:20,0.4
101,Changi,Jakarta,2023-06-19 04:42:20,6,3,Sandwich,14,C1,12.0,2,Success,2023-06-19 06:42:20,0.3
107,Jakarta,Changi,2023-06-22 05:54:20,7,6,Coke,97,A2,5.0,4,Success,2023-06-22 10:54:20,0.1
102,Jakarta,Bangkok,2023-06-19 06:51:20,8,6,Coke,44,B2,5.0,2,Success,2023-06-19 06:51:20,0.1
109,Jakarta,Bangkok,2023-06-21 19:47:20,9,6,Coke,50,B3,5.0,5,Success,2023-06-22 02:47:20,0.1
100,Changi,Bangkok,2023-06-18 17:05:20,10,8,Plane Miniature,20,C2,50.0,2,Success,2023-06-19 00:05:20,0.8
103,Manila,Changi,2023-06-22 12:46:20,11,10,Hoodie,16,B3,70.0,3,Success,2023-06-22 23:46:20,1.5
100,Changi,Bangkok,2023-06-18 17:05:20,12,2,Nasi Lemak,97,A2,15.0,3,Success,2023-06-18 20:05:20,0.7
108,Changi,Manila,2023-06-20 14:11:20,13,9,Perfume,94,A1,80.0,2,Success,2023-06-20 14:11:20,0.2
106,Bangkok,Changi,2023-06-18 01:28:20,14,10,Hoodie,10,B3,70.0,4,Success,2023-06-18 05:28:20,1.5
100,Changi,Bangkok,2023-06-20 07:03:20,15,2,Nasi Lemak,90,A2,15.0,2,Success,2023-06-20 07:03:20,0.7
102,Jakarta,Bangkok,2023-06-19 06:51:20,16,9,Perfume,1,A1,80.0,1,Success,2023-06-19 11:51:20,0.2
103,Manila,Changi,2023-06-22 12:46:20,17,2,Nasi Lemak,76,A3,15.0,4,Success,2023-06-22 13:46:20,0.7
